Package,Subclass,Version,Combined,License(s),Package URL
androidx.test.espresso,espresso-core,3.5.1 (n),androidx.test.espresso.espresso-core.3.5.1 (n),No license information found,https://mvnrepository.com/artifact/androidx.test.espresso/espresso-core/3.5.1 (n)
androidx.test.espresso,espresso-idling-resource,3.6.0-alpha02,androidx.test.espresso.espresso-idling-resource.3.6.0-alpha02,No license information found,https://mvnrepository.com/artifact/androidx.test.espresso/espresso-idling-resource/3.6.0-alpha02
androidx.test.ext,junit,1.1.5,androidx.test.ext.junit.1.1.5,No license information found,https://mvnrepository.com/artifact/androidx.test.ext/junit/1.1.5
androidx.test.services,storage,1.5.0-alpha02,androidx.test.services.storage.1.5.0-alpha02,No license information found,https://mvnrepository.com/artifact/androidx.test.services/storage/1.5.0-alpha02
androidx.test.uiautomator,uiautomator,2.2.0,androidx.test.uiautomator.uiautomator.2.2.0,No license information found,https://mvnrepository.com/artifact/androidx.test.uiautomator/uiautomator/2.2.0
androidx.tracing,tracing,1.1.0,androidx.tracing.tracing.1.1.0,No license information found,https://mvnrepository.com/artifact/androidx.tracing/tracing/1.1.0
androidx.transition,transition,1.2.0,androidx.transition.transition.1.2.0,No license information found,https://mvnrepository.com/artifact/androidx.transition/transition/1.2.0
androidx.vectordrawable,vectordrawable,1.1.0,androidx.vectordrawable.vectordrawable.1.1.0,No license information found,https://mvnrepository.com/artifact/androidx.vectordrawable/vectordrawable/1.1.0
androidx.vectordrawable,vectordrawable-animated,1.1.0,androidx.vectordrawable.vectordrawable-animated.1.1.0,No license information found,https://mvnrepository.com/artifact/androidx.vectordrawable/vectordrawable-animated/1.1.0
androidx.versionedparcelable,versionedparcelable,1.1.1,androidx.versionedparcelable.versionedparcelable.1.1.1,No license information found,https://mvnrepository.com/artifact/androidx.versionedparcelable/versionedparcelable/1.1.1
androidx.viewpager,viewpager,1.0.0,androidx.viewpager.viewpager.1.0.0,No license information found,https://mvnrepository.com/artifact/androidx.viewpager/viewpager/1.0.0
androidx.viewpager2,viewpager2,1.0.0 (*),androidx.viewpager2.viewpager2.1.0.0 (*),No license information found,https://mvnrepository.com/artifact/androidx.viewpager2/viewpager2/1.0.0 (*)
androidx.webkit,webkit,1.8.0,androidx.webkit.webkit.1.8.0,No license information found,https://mvnrepository.com/artifact/androidx.webkit/webkit/1.8.0
com.fasterxml.jackson.core,jackson-annotations,2.9.0,com.fasterxml.jackson.core.jackson-annotations.2.9.0,No license information found,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-annotations/2.9.0
com.fasterxml.jackson.core,jackson-core,2.9.0,com.fasterxml.jackson.core.jackson-core.2.9.0,No license information found,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-core/2.9.0
com.fasterxml.jackson.core,jackson-databind,2.9.0,com.fasterxml.jackson.core.jackson-databind.2.9.0,No license information found,https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-databind/2.9.0
com.github.ben-manes.caffeine,caffeine,2.9.3,com.github.ben-manes.caffeine.caffeine.2.9.3,No license information found,https://mvnrepository.com/artifact/com.github.ben-manes.caffeine/caffeine/2.9.3
com.github.bumptech.glide,annotations,4.12.0,com.github.bumptech.glide.annotations.4.12.0,No license information found,https://mvnrepository.com/artifact/com.github.bumptech.glide/annotations/4.12.0
com.github.bumptech.glide,disklrucache,4.12.0,com.github.bumptech.glide.disklrucache.4.12.0,No license information found,https://mvnrepository.com/artifact/com.github.bumptech.glide/disklrucache/4.12.0
com.github.bumptech.glide,gifdecoder,4.12.0,com.github.bumptech.glide.gifdecoder.4.12.0,No license information found,https://mvnrepository.com/artifact/com.github.bumptech.glide/gifdecoder/4.12.0
com.github.bumptech.glide,glide,4.12.0,com.github.bumptech.glide.glide.4.12.0,No license information found,https://mvnrepository.com/artifact/com.github.bumptech.glide/glide/4.12.0
com.google.android.apps.common.testing.accessibility.framework,accessibility-test-framework,4.1.0,com.google.android.apps.common.testing.accessibility.framework.accessibility-test-framework.4.1.0,No license information found,https://mvnrepository.com/artifact/com.google.android.apps.common.testing.accessibility.framework/accessibility-test-framework/4.1.0
com.google.android.material,material,1.10.0,com.google.android.material.material.1.10.0,No license information found,https://mvnrepository.com/artifact/com.google.android.material/material/1.10.0
com.google.auto.service,auto-service-annotations,1.1.1,com.google.auto.service.auto-service-annotations.1.1.1,No license information found,https://mvnrepository.com/artifact/com.google.auto.service/auto-service-annotations/1.1.1
com.google.code.findbugs,jsr305,3.0.2,com.google.code.findbugs.jsr305.3.0.2,No license information found,https://mvnrepository.com/artifact/com.google.code.findbugs/jsr305/3.0.2
com.google.code.gson,gson,2.10.1,com.google.code.gson.gson.2.10.1,No license information found,https://mvnrepository.com/artifact/com.google.code.gson/gson/2.10.1
com.google.errorprone,error_prone_annotations,2.18.0,com.google.errorprone.error_prone_annotations.2.18.0,No license information found,https://mvnrepository.com/artifact/com.google.errorprone/error_prone_annotations/2.18.0
com.google.guava,failureaccess,1.0.1,com.google.guava.failureaccess.1.0.1,No license information found,https://mvnrepository.com/artifact/com.google.guava/failureaccess/1.0.1
com.google.guava,guava,31.0.1-jre,com.google.guava.guava.31.0.1-jre,No license information found,https://mvnrepository.com/artifact/com.google.guava/guava/31.0.1-jre
com.google.guava,listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,com.google.guava.listenablefuture.9999.0-empty-to-avoid-conflict-with-guava,No license information found,https://mvnrepository.com/artifact/com.google.guava/listenablefuture/9999.0-empty-to-avoid-conflict-with-guava
com.google.j2objc,j2objc-annotations,1.3,com.google.j2objc.j2objc-annotations.1.3,No license information found,https://mvnrepository.com/artifact/com.google.j2objc/j2objc-annotations/1.3
com.googlecode.concurrentlinkedhashmap,concurrentlinkedhashmap-lru,1.4.2,com.googlecode.concurrentlinkedhashmap.concurrentlinkedhashmap-lru.1.4.2,No license information found,https://mvnrepository.com/artifact/com.googlecode.concurrentlinkedhashmap/concurrentlinkedhashmap-lru/1.4.2
com.squareup.okhttp3,okhttp,4.9.1,com.squareup.okhttp3.okhttp.4.9.1,No license information found,https://mvnrepository.com/artifact/com.squareup.okhttp3/okhttp/4.9.1
com.squareup.okio,okio,2.8.0,com.squareup.okio.okio.2.8.0,No license information found,https://mvnrepository.com/artifact/com.squareup.okio/okio/2.8.0
com.vladsch.flexmark,flexmark,0.62.2,com.vladsch.flexmark.flexmark.0.62.2,No license information found,https://mvnrepository.com/artifact/com.vladsch.flexmark/flexmark/0.62.2
com.vladsch.flexmark,flexmark-util-ast,0.62.2,com.vladsch.flexmark.flexmark-util-ast.0.62.2,No license information found,https://mvnrepository.com/artifact/com.vladsch.flexmark/flexmark-util-ast/0.62.2
com.vladsch.flexmark,flexmark-util-builder,0.62.2,com.vladsch.flexmark.flexmark-util-builder.0.62.2,No license information found,https://mvnrepository.com/artifact/com.vladsch.flexmark/flexmark-util-builder/0.62.2
com.vladsch.flexmark,flexmark-util-collection,0.62.2,com.vladsch.flexmark.flexmark-util-collection.0.62.2,No license information found,https://mvnrepository.com/artifact/com.vladsch.flexmark/flexmark-util-collection/0.62.2
com.vladsch.flexmark,flexmark-util-data,0.62.2,com.vladsch.flexmark.flexmark-util-data.0.62.2,No license information found,https://mvnrepository.com/artifact/com.vladsch.flexmark/flexmark-util-data/0.62.2
com.vladsch.flexmark,flexmark-util-dependency,0.62.2,com.vladsch.flexmark.flexmark-util-dependency.0.62.2,No license information found,https://mvnrepository.com/artifact/com.vladsch.flexmark/flexmark-util-dependency/0.62.2
com.vladsch.flexmark,flexmark-util-format,0.62.2,com.vladsch.flexmark.flexmark-util-format.0.62.2,No license information found,https://mvnrepository.com/artifact/com.vladsch.flexmark/flexmark-util-format/0.62.2
